devId,month,sold,terminated,amount_m
3505,2018-09,1.0,0.0,7.4
3505,2018-10,0.0,1.0,0.0
3505,2018-12,2.0,1.0,39.5
3505,2019-01,1.0,1.0,0.1
3505,2019-02,1.0,0.0,0.1
3505,2019-04,5.0,0.0,33.0
3505,2019-05,5.0,0.0,0.1
3505,2019-08,4.0,0.0,0.0
3505,2019-09,1.0,0.0,0.0
3505,2019-10,2.0,0.0,0.1
3505,2019-11,1.0,0.0,0.1
3505,2020-08,1.0,0.0,26.7
3505,2020-11,2.0,0.0,17.2
3505,2021-01,1.0,0.0,9.6
3505,2021-02,1.0,0.0,28.0
3505,2021-03,2.0,0.0,16.5
3505,2021-04,1.0,0.0,7.6
3505,2021-05,2.0,0.0,20.2
3505,2021-06,1.0,0.0,30.2
3505,2021-07,4.0,0.0,38.9
3505,2021-08,4.0,0.0,38.4
3505,2021-09,5.0,0.0,45.4
3505,2021-11,2.0,0.0,60.4
3505,2022-02,1.0,0.0,30.8
3505,2022-04,2.0,0.0,10.6
3505,2022-06,1.0,0.0,9.8
3505,2022-07,1.0,0.0,33.0
3505,2023-01,1.0,0.0,29.9
3505,2024-04,1.0,1.0,28.5
3505,2024-05,1.0,0.0,24.5
3505,2025-04,1.0,0.0,24.7
3505,2025-05,1.0,0.0,24.9
3505,2025-09,1.0,0.0,9.2
3505,2025-12,0.0,1.0,0.0
3585,2016-08,304.0,0.0,2199.9
3585,2016-09,717.0,0.0,6592.4
3585,2016-10,67.0,0.0,597.2
3585,2016-11,1.0,0.0,13.2
3585,2018-06,0.0,1.0,0.0
3585,2018-08,1.0,0.0,22.2
3585,2018-09,5.0,0.0,81.2
3585,2018-11,1.0,0.0,17.2
3585,2019-04,1.0,0.0,16.8
3585,2019-07,2.0,0.0,40.9
3585,2019-09,0.0,1.0,0.0
3585,2020-04,1.0,0.0,15.3
3585,2020-08,1.0,0.0,15.5
3585,2020-11,3.0,0.0,48.6
3585,2020-12,0.0,1.0,0.0
3585,2023-03,2.0,0.0,24.7
3585,2023-04,1.0,0.0,10.6
3585,2023-06,0.0,1.0,0.0
3625,2016-08,132.0,0.0,1038.3
3625,2016-09,113.0,0.0,1107.0
3625,2016-10,180.0,0.0,1591.7
3625,2016-11,11.0,0.0,121.1
3625,2016-12,9.0,0.0,70.9
3625,2017-01,1.0,0.0,6.9
3625,2017-02,25.0,0.0,214.6
3625,2017-03,43.0,0.0,418.7
3625,2017-04,15.0,0.0,208.6
3625,2017-05,10.0,0.0,114.0
3625,2017-06,1.0,0.0,6.9
3625,2017-07,2.0,0.0,17.8
3625,2017-08,1.0,0.0,6.7
3625,2017-09,4.0,0.0,65.6
3625,2017-11,1.0,0.0,11.7
3625,2018-01,1.0,0.0,6.8
3625,2018-05,1.0,0.0,27.5
3625,2018-06,1.0,0.0,9.2
3625,2018-08,1.0,0.0,8.1
3625,2018-10,1.0,0.0,13.3
3625,2018-11,3.0,0.0,35.3
3625,2019-01,2.0,0.0,23.2
3625,2019-02,3.0,0.0,48.9
